FIT Profiler Report

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                              	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                               	|  -              	|  23021          	|  770.02         	|  100 %          	|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                  	|  18.582         	|  40             	|  743.29         	|  96.529         	|
|  run_training_batch                                                                                                                                                  	|  1.1505         	|  320            	|  368.16         	|  47.812         	|
|  [LightningModule]FlowerLightModule.optimizer_step                                                                                                                   	|  1.1498         	|  320            	|  367.95         	|  47.784         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                      	|  0.2987         	|  642            	|  191.76         	|  24.904         	|
|  [LightningModule]FlowerLightModule.transfer_batch_to_device                                                                                                         	|  0.29856        	|  642            	|  191.68         	|  24.893         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                        	|  0.54467        	|  320            	|  174.29         	|  22.635         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                             	|  0.47801        	|  320            	|  152.96         	|  19.865         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                      	|  0.37344        	|  322            	|  120.25         	|  15.616         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                          	|  0.13917        	|  320            	|  44.533         	|  5.7834         	|
|  [_EvaluationLoop].val_next                                                                                                                                          	|  0.04647        	|  322            	|  14.963         	|  1.9433         	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.048182       	|  40             	|  1.9273         	|  0.25029        	|
|  save_checkpoint                                                                                                                                                     	|  0.14284        	|  13             	|  1.8569         	|  0.24115        	|
|  [Callback]LearningRateMonitor.on_train_epoch_start                                                                                                                  	|  0.0051189      	|  40             	|  0.20476        	|  0.026591       	|
|  [Callback]ProgressiveBackboneFinetuning.on_train_epoch_start                                                                                                        	|  0.003436       	|  40             	|  0.13744        	|  0.017849       	|
|  [LightningModule]FlowerLightModule.optimizer_zero_grad                                                                                                              	|  0.000275       	|  320            	|  0.088          	|  0.011428       	|
